Extension Name,Total LOC,Versioning?,Versioning LOC,Pct Versioning LOC
h3_postgis,2479,No,0,0
hashtypes,705,No,0,0
hashtypes-aleksabl,747,No,0,0
hexgrid,0,No,0,0
hostname,46,Yes,2,4.35
hstore,4471,No,0,0
hstore_plperl,155,No,0,0
hstore_plpython3u,192,No,0,0
http,1637,Yes,73,4.46
hyperloglog_estimator,881,No,0,0
hypopg,3583,Yes,869,24.25
icu_ext,3593,Yes,105,2.92
iif,24,No,0,0
imcs,15324,Yes,64,0.42
inetrange,68,Yes,4,5.88
intagg,0,No,0,0
intarray,3438,No,0,0
ip4r,8395,Yes,25,0.3
is_jsonb_valid,2673,No,0,0
isn,2441,No,0,0
istore,5538,Yes,19,0.34
italian_codes,0,No,0,0
italian_fts,0,No,0,0
jdbc_fdw,13839,Yes,440,3.18
json_accessors,1461,Yes,4,0.27
json_build,689,Yes,2,0.29
json_enhancements,4094,Yes,2,0.05
json_fdw,4267,Yes,4,0.09
json_utils,0,No,0,0
jsonb_deep_sum,195,No,0,0
jsonb_plperl,296,No,0,0
jsonb_plpython3u,504,No,0,0
jsonbx,1069,No,0,0
jsoncdc,469,No,0,0
jsonschema,937,No,0,0
jsquery,4837,Yes,8,0.17
jx_io,0,No,0,0
kmeans,411,No,0,0
language,521,No,0,0
ldap_fdw,702,Yes,10,1.42
lo,111,No,0,0
lock_pool,0,No,0,0
log_fdw,1086,Yes,19,1.75
log_functions,355,Yes,40,11.27
logerrors,777,Yes,34,4.38
logfmt,440,No,0,0
logical_ddl,333,Yes,8,2.4
login_hook,265,Yes,61,23.02
loglog_estimator,750,No,0,0
lostgis,0,No,0,0
lower_quantile,603,No,0,0
lsm3,1301,Yes,40,3.07
ltree,4372,No,0,0
ltree_plpython3u,60,No,0,0
madlib,48563,No,0,0
mapcode,113,No,0,0
md5hash,252,No,0,0
metagration,0,No,0,0
mimeo,0,No,0,0
mods_since_analyze,36,No,0,0
mongo_fdw,9069,Yes,438,4.83
multicdr_fdw,1662,Yes,113,6.8
multicorn,4173,Yes,560,13.42
mvtbl,0,No,0,0
my_extension,0,No,0,0
mysql_fdw,9418,Yes,1035,10.99
mysqlcompat,0,No,0,0
narugn,0,No,0,0
neo4j-fdw,0,No,0,0
nominatim_fdw,1714,Yes,10,0.58
notify_now,76,No,0,0
oai_fdw,2720,Yes,31,1.14
object_reference,0,No,0,0
odbc_fdw,1251,No,0,0
ogr_fdw,5724,Yes,3239,56.59
old_snapshot,160,No,0,0
openbarter,3255,No,0,0
openssl,282,No,0,0
oracle_fdw,9031,Yes,12,0.13
orafce,22688,Yes,1090,4.8
osm_fdw,1431,No,0,0
otp,0,No,0,0
pageinspect,3470,No,0,0
pair,0,No,0,0
pandapost,144,No,0,0
paradedb,23819,No,0,0
parray_gin,1548,Yes,16,1.03
passwd-fdw,548,Yes,6,1.09
passwordcheck,150,No,0,0
pcsa_estimator,778,No,0,0
permuteseq,331,Yes,34,10.27
pg-json,434,No,0,0
pg2podg,0,No,0,0
pg_acl,0,No,0,0
pg_amqp,5939,No,0,0
pg_auditor,0,No,0,0
pg_background,1132,Yes,59,5.21
pg_bigm,1265,Yes,87,6.88
pg_buffercache,239,No,0,0
pg_bulkload,38628,Yes,3219,8.33
pg_cext,14,No,0,0
pg_collkey,196,No,0,0
pg_cron,4691,Yes,86,1.83
pg_curl,3062,Yes,70,2.29
pg_datatype_password,0,No,0,0
pg_diffix,8366,No,0,0
pg_doc_store,0,No,0,0
pg_doctest,0,No,0,0
pg_extra_time,0,No,0,0
pg_failover_slots,1494,Yes,43,2.88
pg_feedback,525,No,0,0
pg_fkpart,0,No,0,0
pg_freespacemap,42,No,0,0
pg_french_datatypes,0,No,0,0
pg_global_catalog,0,No,0,0
pg_gsl,306,No,0,0
pg_handlebars,115,Yes,2,1.74
pg_hint_plan,6990,No,0,0
pg_html5_email_address,0,No,0,0
